instance,n,fcfs_gap_pct,sjf_gap_pct,hrrn_gap_pct
650,10,26.5896,0.0000,5.2023
651,5,8.6022,0.0000,0.0000
652,6,15.0538,0.0000,15.0538
653,7,26.7974,0.0000,13.7255
654,7,5.4393,0.0000,2.0921
655,4,3.4091,0.0000,0.0000
656,10,31.9048,0.0000,6.6667
657,10,24.1477,0.0000,5.9659
658,5,0.0000,0.0000,0.0000
659,7,22.6415,0.0000,1.8868
660,6,7.1429,0.0000,1.7857
661,7,9.3750,0.0000,9.3750
662,5,15.2778,0.0000,5.5556
663,7,34.5679,0.0000,30.8642
664,7,24.0741,1.8519,5.5556
665,4,0.0000,0.0000,0.0000
666,5,31.8841,7.2464,20.2899
667,7,20.8333,0.0000,10.4167
668,8,27.8689,0.0000,16.9399
669,10,33.3333,0.0000,6.1033
670,7,24.0000,0.0000,16.0000
671,8,45.7516,8.4967,14.3791
672,5,0.0000,0.0000,0.0000
673,4,0.0000,0.0000,0.0000
674,4,0.0000,0.0000,0.0000
675,7,13.7931,0.0000,0.6897
676,7,12.5000,0.0000,0.6250
677,6,18.1034,0.0000,18.1034
678,4,0.0000,0.0000,0.0000
679,4,5.4054,0.0000,0.0000
680,6,21.2766,0.0000,11.7021
681,8,0.0000,0.0000,0.0000
682,5,11.7647,11.7647,11.7647
683,6,26.4957,0.0000,0.8547
684,4,3.7736,0.0000,3.7736
685,6,8.5271,0.0000,3.1008
686,7,49.5935,0.0000,12.1951
687,5,6.5934,6.5934,6.5934
688,10,9.9415,0.0000,1.1696
689,10,30.3371,0.0000,1.6854
690,4,0.0000,0.0000,0.0000
691,4,0.0000,0.0000,0.0000
692,6,24.3243,2.0270,3.3784
693,5,1.5873,0.0000,1.5873
694,5,0.0000,0.0000,0.0000
695,5,1.7857,0.0000,1.7857
696,5,25.6410,5.1282,5.1282
697,8,24.6914,3.0864,11.7284
698,9,21.4876,0.0000,5.3719
699,7,1.5152,0.0000,1.5152
700,6,0.0000,0.0000,0.0000
701,9,34.5324,0.0000,20.8633
702,4,0.0000,0.0000,0.0000
703,10,13.3621,0.0000,2.1552
704,5,13.3333,2.2222,2.2222
705,10,28.1481,0.0000,11.8519
706,4,6.4516,0.0000,0.0000
707,4,0.0000,0.0000,0.0000
708,10,42.9864,1.3575,7.6923
709,8,23.4694,3.0612,7.1429
710,8,22.6190,9.1270,12.6984
711,6,9.0323,0.0000,0.0000
712,8,27.7778,0.0000,2.7778
713,6,25.0000,0.0000,15.0000
714,4,0.0000,0.0000,0.0000
715,4,0.0000,0.0000,0.0000
716,8,30.7229,6.6265,9.0361
717,7,21.6667,0.0000,18.3333
718,5,0.0000,0.0000,0.0000
719,8,3.7500,0.0000,3.1250
720,7,40.1575,0.0000,16.5354
721,7,13.3333,5.5556,8.8889
722,8,26.0870,0.0000,11.8012
723,4,1.3333,0.0000,1.3333
724,7,33.0435,0.0000,8.6957
725,6,58.1395,0.0000,6.9767
726,10,37.0607,0.0000,7.6677
727,5,18.7500,18.7500,18.7500
728,6,18.9474,0.0000,0.0000
729,10,50.5102,9.1837,19.3878
730,6,17.2043,0.0000,4.3011
731,7,34.0541,0.0000,16.2162
732,6,4.5455,0.0000,0.6494
733,10,41.0853,9.3023,12.4031
734,4,9.8039,0.0000,9.8039
735,4,0.0000,0.0000,0.0000
736,5,1.3889,0.0000,1.3889
737,5,0.0000,0.0000,0.0000
738,6,0.0000,0.0000,0.0000
739,4,30.7692,0.0000,12.3077
740,9,22.4490,0.0000,11.5646
741,8,19.3694,0.0000,2.7027
742,6,42.2535,0.0000,30.9859
743,9,34.1085,0.0000,6.2016
744,4,0.0000,0.0000,0.0000
745,5,0.0000,0.0000,0.0000
746,4,0.0000,0.0000,0.0000
747,8,16.4062,0.0000,2.3438
748,8,0.0000,0.0000,0.0000
749,8,25.3968,0.0000,9.5238
750,8,34.3066,0.0000,8.0292
751,8,30.2632,0.0000,13.1579
752,7,2.0000,2.0000,2.0000
753,5,0.0000,0.0000,0.0000
754,6,0.0000,0.0000,0.0000
755,4,26.7606,1.4085,1.4085
756,8,50.4348,20.0000,23.4783
757,8,32.3671,0.0000,7.7295
758,5,17.1875,6.2500,12.5000
759,6,15.0602,0.0000,9.0361
760,7,29.0909,0.0000,13.6364
761,9,31.8408,0.0000,5.9701
762,6,55.2239,2.9851,29.8507
